Reading data file... Done.
After 23400 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 23500 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 23600 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 23700 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 23800 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 23900 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 24000 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 24100 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 24200 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 24300 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 24400 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 24500 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 24600 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 24700 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 24800 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 24900 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00
After 25000 generations, Best: 235, Worst: 235 delta: 0 Avg: 235.00

Caught possible early convergence (1)
Shuffling population

After 25100 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 25200 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 25300 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 25400 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 25500 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 25600 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 25700 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 25800 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 25900 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 26000 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 26100 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 26200 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 26300 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 26400 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 26500 generations, Best: 235, Worst: 578 delta: 343 Avg: 284.14
After 26600 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 26700 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 26800 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 26900 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 27000 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 27100 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 27200 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 27300 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 27400 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 27500 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 27600 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 27700 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 27800 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 27900 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 28000 generations, Best: 235, Worst: 239 delta: 4 Avg: 238.80
After 28100 generations, Best: 235, Worst: 585 delta: 350 Avg: 308.28
